"47934173","10/21/2020 09:24:35 PM","10/22/2020 06:00:42 AM","New York City Police Department","Noise - Park","Loud Music/Party","10454","Closed","The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","10/22/2020 06:00:54 AM","BRONX","ONLINE","St. Mary's Park (Bronx)","BRONX","(40.81145351317999, -73.91457540384035)"
"47934364","10/22/2020 12:48:30 AM","10/22/2020 01:25:19 AM","New York City Police Department","Noise - Park","Loud Music/Party","11230","Closed","The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","10/22/2020 01:25:20 AM","BROOKLYN","ONLINE","Kolbert Playground","BROOKLYN","(40.62062079905497, -73.95840942389408)"
"47934365","10/21/2020 10:18:39 PM","10/21/2020 10:57:17 PM","New York City Police Department","Noise - Park","Loud Music/Party","11004","Closed","The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","10/21/2020 10:57:18 PM","QUEENS","PHONE","Hillside Playground","QUEENS","(40.74174827087708, -73.71386833776103)"
"47936367","10/21/2020 11:04:39 PM","10/21/2020 11:26:51 PM","New York City Police Department","Noise - Park","Loud Music/Party","11370","Closed","The Police Department responded to the complaint and took action to fix the condition.","10/21/2020 11:26:55 PM","QUEENS","ONLINE","Gorman Playground","QUEENS","(40.76144276705305, -73.88433182126218)"
"47936373","10/21/2020 02:25:12 AM","10/21/2020 03:00:48 AM","New York City Police Department","Noise - Park","Loud Talking","10032","Closed","The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","10/21/2020 03:00:54 AM","MANHATTAN","ONLINE","Audubon Playground","MANHATTAN","(40.841855199947624, -73.93793071595967)"
"47938222","10/21/2020 09:44:39 PM","10/21/2020 10:20:43 PM","New York City Police Department","Noise - Park","Loud Talking","11004","Closed","The Police Department responded to the complaint and took action to fix the condition.","10/21/2020 10:20:46 PM","QUEENS","PHONE","Hillside Playground","QUEENS","(40.74174827087708, -73.71386833776103)"
"47940103","10/21/2020 09:38:18 PM","10/21/2020 09:50:33 PM","New York City Police Department","Noise - Park","Loud Music/Party","11206","Closed","The Police Department responded to the complaint and took action to fix the condition.","10/21/2020 09:50:34 PM","BROOKLYN","PHONE","Marcy Playground","BROOKLYN","(40.69503765568706, -73.9522793702077)"
"47940977","10/21/2020 08:11:36 PM","10/21/2020 09:48:12 PM","New York City Police Department","Noise - Park","Loud Music/Party","11206","Closed","The Police Department responded to the complaint and took action to fix the condition.","10/21/2020 09:48:14 PM","BROOKLYN","ONLINE","Marcy Playground","BROOKLYN","(40.69503765568706, -73.9522793702077)"
"47941105","10/21/2020 11:50:26 PM","10/22/2020 01:15:11 AM","New York City Police Department","Noise - Park","Loud Music/Party","11370","Closed","The Police Department responded to the complaint and took action to fix the condition.","10/22/2020 01:15:16 AM","QUEENS","ONLINE","Gorman Playground","QUEENS","(40.76144276705305, -73.88433182126218)"
"47942086","10/21/2020 10:42:07 PM","10/21/2020 11:10:51 PM","New York City Police Department","Noise - Park","Loud Music/Party","11232","Closed","The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","10/21/2020 11:10:52 PM","BROOKLYN","ONLINE","Sunset Park","BROOKLYN","(40.649500597233825, -74.00575514447839)"
"47942087","10/21/2020 10:20:15 AM","10/21/2020 11:06:28 AM","New York City Police Department","Noise - Park","Loud Music/Party","11362","Closed","The Police Department responded to the complaint and determined that police action was not necessary.","10/21/2020 11:06:31 AM","QUEENS","PHONE","Challenge Playground","QUEENS","(40.7575874951991, -73.72251745439725)"
"47942088","10/21/2020 04:36:24 PM","10/21/2020 05:38:09 PM","New York City Police Department","Noise - Park","Loud Music/Party","10032","Closed","The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","10/21/2020 05:38:11 PM","MANHATTAN","ONLINE","Audubon Playground","MANHATTAN","(40.841855199947624, -73.93793071595967)"
"47942367","10/21/2020 10:20:01 PM","10/21/2020 10:44:02 PM","New York City Police Department","Noise - Park","Loud Talking","11214","Closed","The Police Department responded to the complaint and determined that police action was not necessary.","10/21/2020 10:44:00 PM","BROOKLYN","ONLINE","Bath Beach Park","BROOKLYN","(40.60247107215351, -74.01001849343976)"
"47943321","10/22/2020 12:34:25 AM","10/22/2020 01:09:09 AM","New York City Police Department","Noise - Park","Loud Music/Party","11204","Closed","The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","10/22/2020 01:09:12 AM","BROOKLYN","ONLINE","Gravesend Park","BROOKLYN","(40.624719768701624, -73.98455657855753)"
"47943624","10/21/2020 02:32:09 AM","10/21/2020 03:02:09 AM","New York City Police Department","Noise - Park","Loud Music/Party","10032","Closed","The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","10/21/2020 03:02:14 AM","MANHATTAN","ONLINE","Audubon Playground","MANHATTAN","(40.841855199947624, -73.93793071595967)"
"47943994","10/22/2020 11:20:08 PM","10/23/2020 01:00:29 AM","New York City Police Department","Noise - Park","Loud Music/Party","10003","Closed","The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","10/23/2020 01:00:31 AM","MANHATTAN","PHONE","Union Square Park","MANHATTAN","(40.736836061247594, -73.98962571830423)"
"47944942","10/22/2020 07:30:47 PM","10/22/2020 08:21:26 PM","New York City Police Department","Noise - Park","Loud Music/Party","10040","Closed","The Police Department responded to the complaint and took action to fix the condition.","10/22/2020 08:21:28 PM","MANHATTAN","ONLINE","Fort Tryon Park","MANHATTAN","(40.860092588681304, -73.93103409461263)"
"47945171","10/22/2020 06:03:49 PM","10/22/2020 06:30:22 PM","New York City Police Department","Noise - Park","Loud Music/Party","10009","Closed","The Police Department responded to the complaint and took action to fix the condition.","10/22/2020 06:30:26 PM","MANHATTAN","ONLINE","Tompkins Square Park","MANHATTAN","(40.72716820472698, -73.98271083621445)"
"47945857","10/22/2020 08:19:02 PM","10/22/2020 10:41:34 PM","New York City Police Department","Noise - Park","Loud Music/Party","10452","Closed","The Police Department responded to the complaint and took action to fix the condition.","10/22/2020 10:41:38 PM","BRONX","ONLINE","Joyce Kilmer Park","BRONX","(40.828476588933, -73.92282466060625)"
"47946573","10/23/2020 01:24:21 AM","10/23/2020 03:48:16 AM","New York City Police Department","Noise - Park","Loud Music/Party","11368","Closed","The Police Department responded to the complaint and took action to fix the condition.","10/23/2020 03:48:20 AM","QUEENS","ONLINE","Flushing Meadows Corona Park","QUEENS","(40.742377064999275, -73.84215697754966)"
"47946654","10/22/2020 06:49:06 PM","10/22/2020 07:27:42 PM","New York City Police Department","Noise - Park","Loud Music/Party","10009","Closed","The Police Department responded to the complaint and took action to fix the condition.","10/22/2020 07:27:45 PM","MANHATTAN","ONLINE","Tompkins Square Park","MANHATTAN","(40.72716820472698, -73.98271083621445)"
"47946744","10/22/2020 03:43:32 PM","10/22/2020 04:28:51 PM","New York City Police Department","Noise - Park","Loud Music/Party","11205","Closed","The Police Department responded to the complaint and took action to fix the condition.","10/22/2020 04:28:56 PM","BROOKLYN","ONLINE","Commodore Barry Park","BROOKLYN","(40.696398523304126, -73.97751498613107)"
"47947504","10/22/2020 11:47:10 PM","10/24/2020 05:08:59 AM","New York City Police Department","Noise - Park","Loud Music/Party","11233","Closed","The Police Department reviewed your complaint and provided additional information below.","10/24/2020 05:09:02 AM","BROOKLYN","ONLINE","Fulton Park","BROOKLYN","(40.680109588463054, -73.93193409316193)"
"47947564","10/23/2020 12:15:43 AM","10/23/2020 12:25:58 AM","New York City Police Department","Noise - Park","Loud Music/Party","11372","Closed","The Police Department responded to the complaint and determined that police action was not necessary.","10/23/2020 12:26:01 AM","QUEENS","ONLINE","Travers Park","QUEENS","(40.75493687538746, -73.88905703309607)"
